Location Name,Location City,Longitude,Latitude,Website
Blaker Brewing - Tarmac,"Atwater, CA",-120.5747,37.3640,https://www.blakerbrewing.com
Dust Bowl Brewery,"Turlock, CA",-120.8820,37.5065,https://dustbowlbrewing.com
Lagunitas Brewery,"Petaluma, CA",-122.6630,38.2723,https://lagunitas.com
Wavelength Brewery,"Vista, CA",-117.241728,33.202624,https://www.wavelengthbrewco.com
8Bit Brewery,"Murrieta, CA",-117.1761,33.5294,https://www.8bitbrewingcompany.com
The Craft Brewery,"Lake Elsinore, CA",-117.35688,33.703746,https://craftbrewingcompany.com
Belching Beaver Brewery,"Vista, CA",-117.241178,33.202036,https://belchingbeaver.com
Quantum Brewery,"San Diego, CA",-117.139252,32.830762,https://www.quantumbrewingsd.com
Border X Brewery,"San Diego, CA",-117.139874,32.698007,https://borderxbrewing.com
Black Plague Brewery,"Oceanside, CA",-117.266283,33.215626,https://blackplaguebrewing.com
